# Constructed from biom file,,,,,,,,,,,,,,,,,,,,,,,,,,,
#OTU ID,515rcbc156,515rcbc157,515rcbc159,515rcbc160,515rcbc161,515rcbc168,515rcbc169,515rcbc170,515rcbc174,515rcbc175,515rcbc176,515rcbc177,515rcbc178,515rcbc179,515rcbc180,515rcbc181,515rcbc184,515rcbc185,515rcbc186,515rcbc187,515rcbc188,515rcbc189,515rcbc190,515rcbc191,515rcbc192,515rcbc193,515rcbc194
k__Bacteria;p__Actinobacteria;c__Thermoleophilia,0.008045269,0.005249087,0.01137365,0.012005844,0.016276978,0.003716368,0.004916153,0.000953236,0.002931692,0.007414177,0.006650841,0.014760193,0.008581978,0.006211918,0.005123311,0.010858237,0.008058493,0.012384866,0.003431978,0.005493075,0.017334711,0.008604675,0.002163272,0.007278045,0.007073704,0.005650934,0.010662109
k__Bacteria;p__Armatimonadetes;c__0319-6E2,0,0,6.15E-05,0.003647793,0,6.91E-06,0,0,0,0,3.76E-05,0,0,0,0.000150686,0.000329577,6.47E-05,0,0,4.23E-05,0,0,0,0,5.00E-05,0,0
k__Bacteria;p__Armatimonadetes;c__Armatimonadia,4.49E-05,0.000634318,0,0,0,0.000176202,0.001532833,0,5.72E-05,0.000206359,0.000390637,0.000303122,0,0,0.000150686,0,0.000314691,0,0,0.000156643,2.63E-05,7.41E-05,3.92E-05,2.45E-05,0,0,0
k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes,0,0,0,0,0,2.30E-06,0,0,0,9.58E-05,2.50E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Armatimonadetes;c__SHA-37,0,0,2.05E-05,8.85E-06,0,0,0,0,0,0,2.50E-06,0,0,0,5.02E-05,0,6.17E-05,0,0,4.23E-06,0,0,0,0,0,0,0.00062848
k__Bacteria;p__Armatimonadetes;c__SJA-176,0,0.000246916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia],0.000187041,0.000383145,8.20E-05,0,0,0.000154321,4.26E-06,0,3.58E-05,4.42E-05,0.000100163,0,0,0,0.000326486,0,0.000406538,0,0,6.35E-06,0,0,0,7.35E-06,0,0,0
k__Bacteria;p__BHI80-139;c__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92E-05,0,0,0,3.53E-05,0,0,0,0
k__Bacteria;p__BRC1;c__NPL-UPA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12E-06,0,0,0,0,0,0,0
k__Bacteria;p__BRC1;c__PRR-11,2.00E-05,0.000447003,4.10E-05,0,0,5.99E-05,2.13E-06,0,2.15E-05,7.37E-06,0.000388133,0,0,0,0.000125571,0,2.26E-05,0,0,2.12E-06,0,0,0,2.69E-05,0,0,0
k__Bacteria;p__Bacteroidetes;c__At12OctB3,0,0,0,0,0,0,0,0,1.43E-05,0,0,0,0,0,0,0,4.52E-05,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia,0.013412107,0.01556846,0.004365022,0.010049139,0.00892536,0.007312964,0.00791573,0.005821097,0.010396779,0.015602199,0.011881867,0.019789547,0.006819013,0.005558479,0.007785424,0.009824968,0.004176805,0.005243021,0.002392579,0.00963352,0.005264357,0.03375198,0.012677872,0.005648998,0.004765758,0.001506916,0.009504383
k__Bacteria;p__Bacteroidetes;c__Cytophagia,0.019128088,0.029881055,0.05459352,0.011403781,0.008217176,0.025318978,0.012746607,0.00282158,0.01301385,0.015675899,0.032062261,0.006544964,0.0076506,0.005100222,0.043548144,0.03535385,0.051496362,0.00909735,0.002118021,0.026735081,0.00966154,0.006097352,0.003495722,0.014999486,0.00811278,0.005507418,0.005237334
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia,0.00871363,0.010229972,0.00957026,0.009110629,1.12E-05,0.009965209,0.004487641,0.002342843,0.006542678,0.009374585,0.016927592,0.008289463,0.004856468,0.002053667,0.020794616,0.013298891,0.014944048,0.002579,0.002059187,0.016709955,0.009775411,0.014080895,0.001743942,0.010842352,0.008912068,0.003211166,0.00073874
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia,0.004464052,0.005576889,0.006332356,0.012793838,0.002855216,0.006884551,0.001873937,0.001321821,0.003339268,0.005431658,0.010256718,0.002344557,0.002128863,3.39E-05,0.012155307,0.006680622,0.013933725,0.003060791,0.000333392,0.009675856,0.004397183,0.000632529,0.00049379,0.006288368,0.003037297,0.001991281,0.003010089
k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22,7.48E-06,0,0,0,0,1.27E-05,0,0,0,0,0,0,0,0,0,0,3.01E-05,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi],0.000194523,0.000557689,0.00053282,1.77E-05,0,0.000946655,0,0,0.000100107,0.000176879,0.000285465,0,9.98E-05,0,2.51E-05,0.000587895,0.000418584,0,0,0.000143942,0.001024841,0,0.000137164,0.00015923,3.00E-05,0,0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae],0.007164928,0.006436836,0.01438613,0.020833149,0.018176709,0.006207382,0.009779008,0.002228455,0.003646738,0.006456082,0.00902471,0.006940879,0.005688055,0.012262598,0.009744337,0.011802432,0.014567624,0.008983988,0.003981095,0.005715338,0.017185803,0.003139852,0.002276922,0.01078356,0.004446043,0.009920528,0.006946359
k__Bacteria;p__Chlamydiae;c__Chlamydiia,9.98E-06,0,0,0,0,1.50E-05,0,0,0,1.47E-05,2.50E-06,0,0,0,0,0,1.20E-05,0,0,6.35E-06,0,0,0,0,0,0,0
k__Bacteria;p__Chlorobi;c__,0,0,0,0,0,2.53E-05,0,0,0,0,1.00E-05,0,0,0,2.51E-05,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Chlorobi;c__BSV26,0,0,0,0,0,0,0,0,0,0,4.26E-05,0.000637175,0,0,0,0,0,0,0,4.23E-06,0,0,0,0,0,0,0
k__Bacteria;p__Chlorobi;c__Ignavibacteria,1.75E-05,0,0,0,0,8.06E-06,0,0,3.58E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Chlorobi;c__OPB56,5.24E-05,0,0,0,0,2.65E-05,0,0,0,0,1.75E-05,0,0,0,0,0,9.64E-05,0,0,7.83E-05,0,0,0,0,0,0,0
k__Bacteria;p__Chlorobi;c__SJA-28,0,0,0,0,0,1.38E-05,0,0,0,0,0,0,0,0,0,1.78E-05,1.05E-05,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Chloroflexi;c__,0,0,0,0,0,0,0,0,0,0,2.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Chloroflexi;c__Anaerolineae,0.000620977,0.000374631,0.000102465,0,0,0.000317855,2.13E-06,4.24E-06,0.00030747,0.000361128,0.003062492,0.000624803,0,0,0.0001758,5.34E-05,0.000412561,0.001502055,0,0.000891169,8.76E-06,0.000210843,1.18E-05,0.000142082,0.000239787,0,0.000694636
k__Bacteria;p__Chloroflexi;c__C0119,2.49E-06,0.000149001,0,0,0,9.56E-05,0,0,0,0,0,0,0,0,0.000226028,0,1.51E-06,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Chloroflexi;c__Chloroflexi,0.000214474,0,0,0,0,0.000122075,0,0,0.00244546,3.68E-05,0.000616004,0.000129909,0,0,0.000401828,8.91E-06,0.000103893,2.83E-05,0,0.000497446,0,0,0,1.22E-05,0.000159858,0,0.000418987
k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76E-05,0,0,0,0,0.00032291,0
k__Bacteria;p__Chloroflexi;c__Ellin6529,0.000887823,0.000561946,0.000348382,0,0.003327338,0.000429565,0.000302729,1.69E-05,0.000893808,0.000795955,0.001412302,0.001923898,0,0.001705732,0.002285399,0.001612257,0.00074532,0.001785461,0.000529505,0.000546132,0.005054133,0.001230867,0.000286085,0.000747157,0.001089031,0.000197334,0.000639506
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,5.24E-05,5.53E-05,4.10E-05,0,0,0.000127833,2.13E-05,0,2.86E-05,0.000191619,0.000145237,0,0,0,0.000125571,0.00032067,0.000168638,0,0,7.41E-05,0,0.000102572,0,0,0,0.000161455,0.000617454
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,0,0,0,0,0,4.61E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77E-05,0,0,0,0,0,0,0
k__Bacteria;p__Chloroflexi;c__P2-11E,9.23E-05,0,0,0,0,0,0,0,0,0,0,0.000501079,0,0,0,0,1.36E-05,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Chloroflexi;c__S085,0,8.94E-05,2.05E-05,0,0,7.72E-05,0,0,5.72E-05,2.21E-05,4.76E-05,0.001070207,0,0,0,0.00021378,7.23E-05,0.000510132,0.000254947,1.27E-05,0,0,3.92E-05,7.35E-06,0.000849244,0,0.000562324
k__Bacteria;p__Chloroflexi;c__TK10,0.000231931,9.79E-05,4.10E-05,0,0.001214029,5.76E-05,4.48E-05,0,0,0.000324278,5.01E-05,0.000470149,0,0,0,0.000124705,8.28E-05,0,0,0.000220146,0.00026278,0,0.000199868,0,0,0.000215274,0.000617454
k__Bacteria;p__Chloroflexi;c__TK17,0,0,0.00026641,0,0,1.15E-05,0,0,0,1.47E-05,0,0.000173213,0,0,0,0,7.53E-06,0,0,0,0,0,3.14E-05,0,0,0,0
k__Bacteria;p__Chloroflexi;c__Thermomicrobia,0.000830463,0.00082589,0.000881202,0,0,0.00102036,0.000633173,0,0.000450479,0.000294798,0.00123952,0.000309308,0.00066527,0,0.001557085,0.001086714,0.00141385,0,0,0.000524964,0.001462808,0.00022224,3.92E-05,0.000127384,0.000109902,1.79E-05,0
k__Bacteria;p__Cyanobacteria;c__,0,0,0,0,0,5.87E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Cyanobacteria;c__4C0d-2,0.000102249,0,0,0,0,1.15E-05,3.84E-05,0,0,7.37E-06,2.75E-05,0.000228888,0,0,0,0,0,0,0,0.010116148,0,0,0,7.35E-06,0,0,0
k__Bacteria;p__Cyanobacteria;c__Chloroplast,0.041857345,0.0630529,0.084656844,0.005161804,0.007688849,0.103989193,0.034841579,0.039404672,0.060793273,0.021417095,0.102967838,0.00795541,0.011608955,0.019705019,0.10751419,0.060562063,0.133599039,0.03766473,0.00331431,0.033612538,0.01683543,0.007801192,0.005063311,0.026557149,0.149137268,0.019787238,0.007916644
k__Bacteria;p__Cyanobacteria;c__ML635J-21,0.000104743,0,6.15E-05,0,0.000876799,4.84E-05,0.000127914,0,0.000228815,0.000678036,2.00E-05,0,0,0,7.53E-05,0.000311762,0.000246934,0,0,6.35E-06,0,0,0.000117569,7.59E-05,0,0,0
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae,0.000800537,0.001566637,0,0,0,0.000512483,0.000886869,0,6.44E-05,3.68E-05,0.001262057,8.66E-05,0,0,0.002335627,0.001202512,0.001784252,0,0,2.96E-05,0,0,0,6.37E-05,0,0,0
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae,0.003481462,0.005832319,0.001987827,0,0.001079137,0.009180937,0.006214477,0.000432134,0.000750799,0.001422402,0.006866192,0.000593872,0.000365898,2.55E-05,0.000753428,0.004605175,0.00769562,0.003996032,0.000313781,0.001828908,0.003967976,0.00066672,0.000117569,0.003532461,0.001198933,0.000645821,0
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,0.000364107,0,0,0,0,6.91E-05,0.0002473,0,0.000178762,7.37E-06,0.000616004,0,0,0,0,0,0.000350828,0.000170044,0,1.91E-05,0,0,3.92E-06,3.43E-05,8.99E-05,0,0
k__Bacteria;p__Elusimicrobia;c__,0,0,0,0,0,9.21E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia,0.000174572,0,0.000143451,0.001292665,0,1.27E-05,0,0,0,0,2.00E-05,0.00021033,0.00153012,0,0,0,0,2.83E-05,0.000313781,2.12E-06,0.000508041,0,0.000129326,0.000293963,0,0,0
k__Bacteria;p__FBP;c__,0.000306748,0.000902519,8.20E-05,0.001691089,0,0.000509028,1.71E-05,0,0.000171611,0.000449567,0.000876429,0,9.98E-05,0,0.000276257,0.000454282,0.000968164,0.00045345,0,0.000268833,0,9.12E-05,9.41E-05,0.000894139,9.99E-05,0,0
k__Bacteria;p__FCPU426;c__,0,0,0,0,0,3.45E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,4.99E-05,0,0,0,0,3.92E-05,2.13E-06,0,0.000235965,1.47E-05,0.000170278,0,0,0,0.000452057,8.91E-06,0.000218326,0,0,8.47E-05,0,0,5.09E-05,0.000200875,0,0,0
k__Bacteria;p__Fibrobacteres;c__TG3,2.49E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23E-06,0,0,0,0,0,0,0
